Id	Issue	State	Created
109-a721e051	760	closed	automatically
226-af195ad8	1093	open	automatically
477-6f081e18	872	open	automatically
493-2b6007d4	1033	open	manually
493-42e1fc4c	933	open	manually
493-6ad65c8d	1032	open	manually
493-bc96ed45	931	open	manually
493-f666e113	930	open	manually
511-f20a64c0	1444	open	automatically
517-385bf5f0	989	open	automatically
517-49fc5900	988	open	automatically
517-d58933f7	987	open	automatically
592-8fadbb56	740	open	automatically
660-32942e08	898	open	automatically
663-2b32ef86	883	open	automatically
663-8bbd6c00	885	open	automatically
665-32370c4c	800	closed	automatically
671-aade0c20	972	open	automatically
671-e8c4f51d	973	open	automatically
687-994e661c	746	open	automatically
687-c6d33b89	745	open	automatically
690-384e961f	1081	open	automatically
694-18bba425	913	open	automatically
694-2b8246eb	902	open	automatically
694-35aab30a	909	open	automatically
694-424e441b	911	open	automatically
694-5e76eadc	916	open	automatically
694-5ff627a7	904	open	manually
694-6574cec0	906	open	automatically
694-8e1ac4c4	910	open	automatically
694-993ff349	908	open	automatically
694-b7a345ad	915	open	automatically
694-d17b3e39	917	open	automatically
694-d360b036	912	open	automatically
694-d39599f4	905	open	automatically
694-d3adec03	907	open	automatically
694-f7d3a238	914	open	automatically
695-0c97d8b1	846	open	automatically
695-18c5a29c	859	open	automatically
695-1c6fc247	865	open	automatically
695-30836e69	839	open	automatically
695-3605c681	853	open	automatically
695-3e442dbc	856	open	automatically
695-6636bb5e	841	open	automatically
695-7d753493	852	open	automatically
695-acc3d320	837	open	automatically
695-b081f579	863	open	automatically
695-c38ae205	866	open	automatically
695-c3acafce	867	open	automatically
695-eb735e9f	847	open	automatically
695-ee1c9a1a	861	open	automatically
695-f2940c60	855	open	automatically
705-eb60edc9	739	open	automatically
709-2eff2f2e	722	open	manually
709-3f7597a9	724	open	automatically
709-51c3200e	723	open	manually
709-64870988	719	open	manually
709-6a277942	728	open	manually
709-74ca36a7	727	open	manually
709-7b960d82	730	open	manually
709-8e67a194	720	open	manually
709-8f32202e	725	open	automatically
709-fd5f9ae4	721	open	manually
709-fe188622	726	open	manually
709-ffbd8602	729	open	automatically
734-10236b8a	757	open	automatically
738-13880c1a	926	open	automatically
749-2a40850f	762	open	automatically
769-4310f3c0	773	open	automatically
769-d2cdc518	775	open	automatically
770-3251a080	774	open	automatically
782-a11927bd	795	open	automatically
785-140bc7bd	1417	open	automatically
785-37a48219	1412	open	automatically
785-4e1225ab	1416	open	automatically
785-70fca94a	1415	open	automatically
785-a8e6066a	1413	open	automatically
785-c0b6c3f6	1418	open	automatically
785-c33d2a08	1414	open	automatically
801-b1837c29	805	closed	automatically
803-64628226	807	open	automatically
819-04650c42	827	closed	automatically
819-38c578c8	825	closed	automatically
834-3f317328	849	open	automatically
857-34fbb536	918	open	automatically
857-719bea28	924	open	automatically
857-83098214	922	open	automatically
857-a6f9cdd0	923	open	automatically
857-aa59724c	919	open	automatically
869-7bf9fe59	1198	closed	manually
869-90e5e0f1	1199	open	automatically
884-03637f5c	888	open	manually
892-9e92b338	1024	open	automatically
927-0bf380a9	1041	open	automatically
927-0de549b6	1044	open	automatically
927-285714a8	1040	open	automatically
927-5e01dc83	1047	open	automatically
927-61bc647b	1046	open	automatically
927-664a2788	1048	open	automatically
927-9e515adc	974	open	automatically
927-d8dc99c9	1045	open	automatically
927-e31062c0	1042	open	automatically
927-e9697c74	1043	open	automatically
971-7e983586	999	closed	manually
975-c9aec551	983	open	automatically
975-d6c13208	984	open	automatically
975-e76660de	982	open	automatically
978-63d2b8ea	997	open	manually
979-ca86046a	1220	open	automatically
995-71e1e7c8	1025	open	automatically
995-950efed9	1028	open	automatically
995-a90e239c	1030	open	automatically
995-dfb3dc6f	1029	open	automatically
1000-66d57f44	1302	open	automatically
1000-6a846ef7	1301	closed	automatically
1000-7b4c3a87	1212	open	automatically
1034-0016977f	1039	open	automatically
1054-0d061f99	1136	open	automatically
1054-1c349c8e	1138	open	manually
1054-33066ab3	1139	open	automatically
1054-41eae704	1134	open	automatically
1054-7817233c	1135	open	automatically
1054-d4786412	1137	open	automatically
1057-ae51bd20	1073	open	automatically
1057-afe1bb59	1076	open	automatically
1057-ea0a43ea	1074	open	manually
1060-e52eab60	1070	open	manually
1098-de488059	1101	open	automatically
1123-296bb340	1194	closed	automatically
1123-42494b3d	1193	open	automatically
1149-f52d6199	1596	open	automatically
1160-545c948a	1485	open	automatically
1161-69decc53	1476	open	automatically
1161-a2706b18	1483	open	automatically
1170-64f18d35	1235	closed	manually
1230-8769330d	1273	open	automatically
1230-9685721f	1271	open	automatically
1254-f96635a2	1255	open	automatically
1277-5efa16a9	1425	open	automatically
1280-233d287d	1316	open	automatically
1280-50f25bf4	1321	open	automatically
1280-6ea086d8	1320	open	automatically
1280-77fd103b	1322	open	automatically
1280-7ac54ef9	1319	open	automatically
1280-9a82bce8	1317	open	automatically
1280-e234a7b0	1318	closed	automatically
1280-e7733cce	1323	open	automatically
1281-8f164ecd	1285	open	automatically
1282-0969f19a	1419	open	automatically
1287-00d4c9e9	1289	open	automatically
1287-08af32c7	1290	open	automatically
1287-318d9e28	1295	open	automatically
1287-35da0048	1294	open	automatically
1287-6ef6a9d5	1292	open	automatically
1287-760de89e	1291	open	automatically
1287-917ee600	1293	open	automatically
1303-015294f3	1374	open	automatically
1303-25f7ab3b	1365	open	automatically
1303-59dd45e7	1370	open	automatically
1303-5b557695	1366	closed	automatically
1303-7320596f	1367	open	automatically
1303-7c7e06c0	1373	closed	automatically
1303-7ef1304a	1371	open	automatically
1303-c0d00ebb	1375	open	automatically
1303-c2bfae4d	1369	open	automatically
1303-dcf84f86	1372	open	automatically
1303-fbc787d3	1368	open	automatically
1326-2bc92a3c	1430	open	automatically
1326-2cfe45cd	1401	open	automatically
1326-4794f854	1402	open	automatically
1326-d460ac09	1400	open	automatically
1326-e5faca08	1431	open	manually
1329-5cbf2e5d	1490	open	automatically
1338-4f752b8a	1489	open	automatically
1339-3c1b068a	1436	closed	automatically
1339-9a7986f1	1437	open	automatically
1340-1b97f079	1435	open	automatically
1340-34ef47fe	1434	open	automatically
1340-c6d2a382	1433	closed	automatically
1341-d3b9ba1b	1488	open	automatically
1342-c6d2f2ba	1487	open	automatically
1343-a893935d	1424	open	automatically
1343-c710f5d6	1427	open	automatically
1343-fe3ada44	1423	closed	automatically
1344-fb12fdf0	1491	open	automatically
1356-b1ab6b12	1381	open	automatically
1356-cbf177f8	1384	open	automatically
1356-ff7ebcc8	1382	open	automatically
1383-68064f45	1543	open	automatically
1388-110ff48f	1394	open	automatically
1411-1e303594	1544	open	automatically
1421-f0722df3	1426	open	automatically
1447-3c055652	1482	open	automatically
1448-65ca5ec2	1450	open	manually
1448-d5a68b83	1451	open	automatically
1448-eb3f0fe6	1449	open	automatically
1455-dfea25aa	1456	open	automatically
1484-0743f8f3	1503	open	automatically
1484-7c5cb814	1502	open	automatically
1484-a3f3427b	1499	open	automatically
1489-42680117	1500	open	automatically
1505-6101f84e	1545	open	automatically
1513-5b274200	1546	open	automatically
684-0b0d5497	748	open	manually
1154-3fe7f1f2	1611	open	automatically
1154-b99af137	1612	open	automatically
1268-64454c39	1613	open	automatically
1605-c1ea4a5f	1614	closed	automatically
1610-3bdaa3a0	1616	open	automatically
1610-40bd5b91	1617	reopened	automatically
1060-c9ead0b8	1618	open	automatically
1154-ac29fbc0	1619	open	automatically
1621-71a788b3	1622	open	automatically
1621-b132f9e0	1623	open	automatically
1605-1a43eb84	1628	open	automatically
1605-7e6638bf	1629	closed	automatically
1605-8a636eb1	1630	closed	automatically
1244-070a6baf	1632	open	automatically
